id;cnpj;razao_social;nome_fantasia;codigo_cnae;data_abertura;codigo_cnae_principal;codigo_natureza_juridica;quantidade_funcionarios
1;Home;Wooden;Analyst;hardware Pizza;2022-09-13T21:45:58;Avon Mouse systems;fuchsia withdrawal rich;89985
2;Concrete COM C;Kansas;programming user-facing Intelligent;Pizza;2022-09-13T18:55:42;USB web-readiness Mall;Islands;7147
3;Games;Metrics;Account;Tunisia Gorgeous;2022-09-13T21:03:04;Greece;Qatar;13714
4;content Taka p;invoice XSS;GB;override Yemen;2022-09-14T04:16:05;silver Web;District Lodge Loan;75528
5;Armenian;Pants Research bandwidth;engage firewall;Utah Ball holistic;2022-09-14T10:13:12;indexing;Credit;15951
6;deposit;mindshare seize;invoice Division;digital;2022-09-14T08:04:45;Borders turn-key;Factors;56496
7;Intelligent Av;hard Metrics;Executive;1080p orchid;2022-09-14T12:42:32;deposit Executive;Refined;86025
8;one-to-one Web;Investor;e-commerce Rubber;compressing Avon;2022-09-14T09:28:57;Executive;Garden;50786
9;Bedfordshire;IB;Car Ergonomic;user-centric Gloves monetize;2022-09-14T01:09:05;process Frozen;Loan HDD Dollar;22001
10;navigating For;cyan disintermediate;process Sports;SCSI Pants;2022-09-14T02:22:39;Incredible;Awesome Computers;88737
